,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Sumatra,Sumatra,GPE,0.08241758,0.48214286,en,1.30000000,4058586-4,1626198,T,0.00000000,102.00000000,ASIA,Indonesia,SEA
Gulf,Gulf,LOC,0.00000000,0.00000000,en,1.30000000,,0,,,,,,
Jupiter,Jupiter,LOC,0.10489510,0.73426573,en,1.30000000,,4160610,P,26.93422000,-80.09421000,NORTH-AMERICA,United States,ENA
Oudberg,Oudberg,GPE,0.20979021,0.69930070,en,1.30000000,,0,,,,,,
Copernicus Sentinel-2,Copernicus Sentinel-2,GPE,0.09615385,0.09615385,en,1.30000000,,0,,,,,,
Denmark,Denmark,GPE,0.07692308,0.53846154,en,1.30000000,4010877-6,2623032,A,56.00000000,10.00000000,EUROPE,Denmark,NEU
Norway,Norway,GPE,0.38461538,0.46153846,en,1.30000000,4042640-3,3144096,A,62.00000000,10.00000000,EUROPE,Norway,NEU
Bergen,Bergen,GPE,0.03846154,0.46153846,en,1.30000000,1027742-0,3161732,P,60.39299000,5.32415000,EUROPE,Norway,NEU
Amsterdam,Amsterdam,GPE,-0.41666667,0.75000000,en,1.20000000,4001783-7,2759794,P,52.37403000,4.88969000,EUROPE,The Netherlands,NEU
Marbella,Marbella,GPE,0.66666667,0.62500000,en,1.20000000,4132923-5,2514169,P,36.51543000,-4.88583000,EUROPE-AFRICA,Spain,MED
Greenland,Greenland,GPE,0.00000000,0.00000000,en,1.10000000,4022113-1,3425505,A,72.00000000,-40.00000000,POLAR,Greenland,GIC
Caribbean,Caribbean,LOC,0.00000000,0.00000000,en,1.10000000,,0,,,,,,
Tehran,Tehran,GPE,0.00000000,0.00000000,en,1.00000000,4059304-6,112931,P,35.69439000,51.42151000,ASIA,Iran,WCA
Melbourne,Melbourne,GPE,0.25000000,0.85000000,en,1.00000000,4038526-7,2158177,P,-37.81400000,144.96332000,OCEANIA,Australia,SAU
Sardinia,Sardinia,GPE,0.13111111,0.59111111,en,1.00000000,1246547562,2523227,T,40.00000000,9.00000000,EUROPE-AFRICA,Italy,MED
Catshuis,Catshuis,GPE,0.00000000,0.65000000,en,1.00000000,,0,,,,,,
Tessenderlo-Ham,Tessenderlo-Ham,GPE,0.00000000,0.00000000,en,1.00000000,,0,,,,,,
Brabant,Brabant,GPE,0.00000000,0.00000000,en,1.00000000,4239401-6,2754447,P,51.48167000,5.66111000,EUROPE,The Netherlands,WCE
